roadtype,loadkg,axles,climate,temperature,avg_speed,tire_age,wear_level,optimal_psi,failure_flag
mountain,13365,4,cold,28,68,0.78,low,98.49,0
highway,13580,4,dry,10,89,0.85,high,95.2,0
urban,23216,3,dry,12,73,3.09,low,107.45,0
urban,23818,3,rainy,31,58,3.11,medium,107.63,1
highway,18933,3,rainy,5,55,3.94,low,103.05,0
urban,14372,2,cold,6,56,0.64,medium,105.3,1
mountain,15935,3,dry,38,41,3.47,high,100.49,1
highway,10472,2,cold,31,59,2.35,high,98.92,0
urban,14450,4,cold,6,72,1.89,low,97.0,0
mountain,12859,3,cold,10,41,1.07,low,99.51,1
mountain,20975,3,rainy,26,58,3.25,low,107.19,0
highway,20391,3,rainy,5,58,0.94,medium,104.39,0
urban,15587,4,dry,33,48,3.22,low,97.16,0
urban,12199,2,dry,30,58,0.37,medium,103.02,0
mountain,17753,4,rainy,18,58,0.37,medium,100.69,0
highway,22217,3,rainy,13,41,2.94,low,105.35,0
highway,19022,2,dry,5,82,2.59,low,112.13,0
urban,19057,4,cold,15,67,3.18,low,99.82,0
mountain,14988,2,rainy,22,48,2.91,low,107.98,0
urban,17355,4,rainy,12,83,1.12,low,99.35,0
mountain,15295,3,dry,31,60,0.79,medium,102.61,0
mountain,11003,3,rainy,10,85,2.99,medium,99.72,0
urban,21281,4,rainy,27,40,1.12,low,100.31,0
highway,21525,4,cold,33,81,3.91,medium,102.19,0
urban,24123,3,rainy,17,65,2.86,low,107.96,0
mountain,20494,4,rainy,29,71,0.11,medium,103.08,0
mountain,16451,4,cold,15,83,1.28,low,100.83,0
mountain,23964,3,cold,15,67,2.49,low,109.88,0
mountain,21735,2,rainy,28,58,2.73,low,116.91,0
mountain,17125,3,dry,7,60,1.86,low,103.78,0
mountain,25394,2,dry,33,58,3.95,low,121.56,0
mountain,11976,2,cold,24,52,3.68,low,104.41,0
urban,12683,2,cold,12,69,0.8,medium,103.79,0
highway,18694,3,cold,8,54,0.14,low,102.86,0
highway,13962,2,rainy,20,51,3.36,low,104.79,0
mountain,14975,2,cold,15,46,0.37,low,107.78,0
highway,24377,4,cold,36,88,0.62,high,102.3,0
mountain,25548,3,dry,37,67,3.63,low,111.52,0
highway,20597,3,cold,23,58,1.69,low,104.83,0
mountain,22951,2,cold,10,63,2.15,high,116.36,1
urban,24200,4,rainy,37,48,2.49,low,102.6,0
mountain,12431,3,cold,15,65,0.38,low,100.18,0
mountain,11048,3,cold,9,83,1.96,medium,99.66,0
mountain,11180,3,rainy,23,78,1.25,low,99.78,0
mountain,16975,4,dry,26,40,2.79,low,99.6,0
highway,23345,3,cold,13,79,0.32,medium,107.81,1
urban,25387,2,rainy,12,76,3.51,medium,119.95,1
highway,16165,4,cold,5,59,1.44,low,97.54,0
highway,24686,4,cold,8,75,2.09,high,101.55,0
highway,21807,2,cold,23,47,0.14,high,112.48,1
mountain,10131,2,cold,9,88,3.7,low,103.32,0
mountain,23922,3,rainy,28,80,0.35,low,110.56,0
mountain,15400,3,cold,29,55,3.64,high,100.47,1
mountain,20337,4,cold,18,51,3.01,low,102.02,0
highway,17031,2,rainy,36,78,1.47,medium,109.95,1
mountain,21686,2,dry,25,54,3.12,low,116.64,0
mountain,19620,3,cold,18,64,0.35,low,106.18,0
highway,19161,2,cold,23,54,1.39,medium,111.46,1
urban,14526,4,rainy,18,82,2.16,high,95.63,0
urban,22527,3,rainy,38,83,3.56,low,107.66,0
mountain,14020,4,cold,36,55,2.06,low,98.5,0
mountain,14450,3,rainy,15,55,3.92,medium,101.47,0
urban,16383,4,dry,23,85,0.95,medium,98.98,1
mountain,15230,4,dry,5,54,1.76,low,98.75,0
highway,12974,4,rainy,15,85,3.97,medium,96.73,0
urban,21866,2,cold,25,86,3.76,medium,116.15,1
urban,14988,2,rainy,7,66,1.38,low,106.48,0
highway,16564,4,cold,36,84,0.98,medium,99.25,0
urban,19759,2,rainy,16,84,1.21,medium,113.3,1
highway,10360,2,dry,15,70,1.37,medium,100.98,0
urban,16028,2,cold,8,55,2.69,low,107.36,0
urban,13927,3,dry,26,40,0.74,medium,98.6,0
urban,24540,4,dry,19,64,3.28,low,103.18,0
highway,25512,3,dry,30,75,0.16,low,109.71,0
mountain,14718,3,rainy,24,55,1.02,high,99.82,0
urban,15751,3,cold,19,47,3.11,low,100.29,0
highway,12777,3,rainy,33,75,3.91,low,99.14,0
highway,19278,4,cold,32,47,3.77,low,99.41,0
mountain,14529,3,cold,20,65,1.09,medium,102.01,0
highway,19653,2,cold,13,69,2.51,low,112.52,0
mountain,17236,2,cold,25,49,2.12,low,110.88,0
mountain,21906,3,dry,38,55,2.16,medium,108.02,0
mountain,11254,4,rainy,23,65,0.99,medium,96.98,0
highway,16674,2,dry,35,80,0.95,low,109.57,0
highway,15908,3,dry,28,46,2.19,medium,100.52,0
highway,16044,2,rainy,6,49,2.64,low,107.1,0
highway,11367,3,rainy,38,58,0.43,medium,97.36,0
urban,20746,3,dry,38,52,3.42,high,102.94,1
mountain,21552,3,dry,34,86,2.24,low,108.91,0
highway,12782,3,rainy,25,71,1.55,medium,98.87,0
highway,15501,4,cold,18,70,3.24,low,97.76,0
highway,13591,3,rainy,35,66,2.76,medium,99.49,0
highway,23112,2,rainy,30,41,1.01,low,115.98,0
mountain,18354,4,cold,22,61,0.2,medium,101.24,0
mountain,20675,3,dry,37,62,1.02,medium,107.26,0
urban,11354,3,rainy,37,78,2.23,low,98.14,0
highway,18304,2,cold,20,80,3.59,medium,111.38,1
urban,22657,4,dry,18,61,3.3,high,99.87,1
highway,11182,4,rainy,26,44,1.95,medium,94.14,0
mountain,24520,4,rainy,18,51,2.4,low,104.64,0
urban,17074,3,cold,32,61,3.97,low,102.15,0
highway,16792,3,cold,32,65,1.95,low,102.07,0
highway,13299,2,dry,22,86,1.8,high,103.39,0
highway,15610,2,cold,20,66,1.67,high,105.45,1
highway,20540,2,dry,26,41,2.38,medium,112.7,1
highway,21323,2,dry,37,43,1.93,low,113.93,0
highway,21484,3,cold,8,41,1.61,low,104.66,0
mountain,13324,3,rainy,15,56,0.84,medium,100.57,0
highway,16848,4,cold,8,70,2.59,medium,98.45,0
urban,24708,4,rainy,5,79,1.09,high,101.68,0
mountain,12509,3,dry,21,65,0.41,low,100.34,0
highway,21063,2,dry,19,73,3.78,low,114.53,0
highway,21363,2,cold,7,45,1.72,low,113.61,0
mountain,16373,4,dry,39,46,2.46,medium,99.66,0
highway,25214,4,cold,23,47,2.56,high,100.98,1
mountain,24255,2,cold,14,52,3.71,low,119.61,0
mountain,18890,4,rainy,6,59,3.46,medium,101.26,0
urban,13328,2,dry,12,41,3.1,low,103.48,0
highway,16388,4,cold,22,69,2.27,high,96.33,0
mountain,23177,4,dry,11,48,2.05,medium,103.57,0
urban,23676,4,cold,10,77,0.71,medium,103.03,0
mountain,12715,3,dry,30,88,0.31,high,99.57,0
urban,14037,3,dry,38,40,2.07,medium,98.87,0
mountain,13617,4,dry,21,81,0.64,low,99.07,0
mountain,19484,4,cold,23,40,1.45,high,99.12,0
highway,14795,4,rainy,29,82,1.2,medium,97.96,0
urban,11205,4,cold,37,67,0.21,medium,95.24,0
highway,11517,2,dry,39,71,2.12,medium,102.82,0
mountain,16234,4,cold,27,42,2.95,low,99.23,0
urban,24686,3,dry,16,74,3.74,medium,108.77,1
urban,12898,3,dry,39,87,0.12,high,97.81,0
highway,21595,3,rainy,33,89,2.38,low,107.05,0
mountain,17729,4,dry,14,61,3.57,medium,100.73,0
mountain,25248,2,dry,9,68,1.21,low,121.42,0
urban,21005,2,cold,18,42,1.5,high,111.21,1
mountain,17334,4,dry,19,77,0.87,low,101.2,0
urban,15791,3,rainy,14,52,2.11,high,98.45,0
mountain,16747,3,rainy,27,79,1.51,low,104.52,0
urban,16068,2,dry,32,81,2.0,low,108.8,0
urban,11226,4,rainy,7,70,0.88,low,94.92,0
mountain,13800,2,cold,9,51,1.17,high,104.43,0
mountain,24901,4,dry,26,67,2.92,low,105.63,0
mountain,22211,2,dry,35,64,3.69,low,117.85,0
urban,23207,2,dry,25,65,1.63,low,116.98,0
urban,11464,3,dry,33,67,0.33,high,95.73,0
urban,24792,2,dry,33,68,3.71,high,117.21,1
mountain,16250,4,cold,10,52,1.67,low,99.39,0
urban,18847,2,rainy,12,42,2.84,low,110.42,0
urban,22965,3,dry,25,40,3.64,medium,106.11,1
highway,12211,4,rainy,28,41,1.87,low,94.69,0
mountain,14279,3,rainy,10,54,2.27,low,101.21,0
highway,22312,3,cold,19,53,3.33,low,106.0,0
highway,17891,2,rainy,29,47,3.08,low,109.68,0
urban,14832,4,cold,14,45,0.44,low,96.28,0
mountain,10178,2,rainy,7,65,3.85,low,102.43,0
highway,10523,4,cold,34,60,3.53,medium,94.49,0
highway,22734,3,cold,24,56,0.75,high,104.54,1
highway,18125,3,dry,24,45,3.21,medium,102.26,0
highway,15843,4,rainy,27,65,0.24,medium,97.91,0
urban,18335,2,cold,23,44,2.64,medium,110.02,1
urban,22249,4,dry,20,61,2.76,medium,101.65,0
urban,14863,3,cold,25,77,2.52,medium,100.84,0
mountain,20367,2,dry,7,81,3.6,medium,115.8,1
mountain,25852,2,dry,19,42,1.0,medium,121.28,1
highway,11339,4,dry,6,67,1.84,high,92.86,0
urban,10113,3,rainy,11,63,3.66,medium,96.11,0
highway,22258,2,rainy,15,63,3.34,low,115.57,0
urban,22517,4,cold,23,67,2.39,low,102.1,0
highway,17675,3,rainy,28,89,3.14,low,103.71,0
highway,10208,2,cold,31,80,0.91,low,101.43,0
highway,17723,3,cold,24,86,3.73,high,101.57,1
highway,17738,3,cold,26,77,1.54,medium,103.25,0
mountain,22269,2,cold,19,65,2.06,high,115.72,1
highway,14860,2,rainy,7,48,1.61,medium,105.6,0
urban,11212,2,cold,23,48,3.23,high,99.28,1
mountain,19289,4,rainy,9,83,2.45,low,102.51,0
mountain,16407,2,cold,18,48,1.91,low,109.7,0
highway,16841,2,rainy,18,63,1.71,medium,108.84,1
urban,21865,3,cold,37,66,3.24,low,106.42,0
mountain,22327,4,cold,26,43,2.63,low,103.06,0
highway,16791,4,dry,37,60,0.76,low,98.45,1
urban,14788,3,rainy,30,69,3.65,medium,100.53,0
highway,24268,2,dry,14,86,3.51,high,116.98,1
mountain,15915,3,rainy,22,75,0.22,medium,103.59,0
urban,25599,2,dry,24,44,3.61,low,119.12,0
urban,24362,3,dry,30,40,0.74,medium,107.35,1
urban,17963,2,rainy,7,47,3.05,high,107.44,1
urban,17062,3,rainy,22,51,1.64,high,99.59,0
mountain,24048,4,rainy,34,69,2.22,high,103.3,0
urban,18112,3,rainy,5,78,0.51,high,101.29,0
urban,22641,4,dry,35,76,1.09,low,102.72,0
highway,25024,2,cold,36,41,3.51,high,116.46,1
mountain,17444,3,cold,5,85,1.63,low,105.01,0
highway,21911,2,dry,8,61,1.55,low,114.95,0
mountain,11003,3,dry,30,52,0.5,low,98.7,0
urban,17215,4,dry,5,63,2.15,medium,98.35,0
highway,18677,4,cold,19,55,0.97,medium,99.16,0
mountain,22366,2,dry,8,82,3.79,medium,118.36,1
urban,17418,4,rainy,8,74,3.09,low,98.97,0
urban,17975,3,cold,19,87,3.39,medium,103.74,0
highway,12799,4,rainy,10,60,3.3,medium,95.55,0
mountain,14632,4,dry,38,64,1.34,low,99.28,0
urban,20504,3,cold,19,83,0.15,medium,105.69,0
mountain,10295,4,rainy,8,53,2.65,high,93.67,1
highway,22608,3,dry,22,72,0.96,low,107.05,0
mountain,19319,2,dry,7,80,1.21,low,114.45,0
urban,15958,2,cold,5,82,2.64,medium,108.3,1
highway,16404,3,dry,35,87,3.38,low,102.68,0
highway,18533,4,rainy,22,80,1.35,high,98.11,0
highway,13319,4,cold,22,66,0.54,low,96.29,0
highway,18006,4,rainy,28,70,3.43,low,99.47,0
highway,20842,2,cold,26,88,0.2,low,114.96,0
mountain,24077,4,dry,27,75,1.85,high,103.45,0
highway,12214,4,rainy,22,76,1.08,low,96.0,0
highway,23113,2,dry,28,62,3.94,low,116.79,0
highway,17365,4,cold,17,76,1.5,low,99.15,0
urban,25907,4,rainy,36,70,2.17,low,104.53,0
highway,25723,4,cold,14,78,2.6,low,104.41,0
urban,13539,3,rainy,28,87,0.32,medium,100.18,0
urban,21138,2,dry,18,83,3.2,medium,115.01,1
urban,25638,3,rainy,18,85,0.83,medium,110.04,1
urban,10688,3,cold,34,89,2.33,medium,97.98,0
highway,25138,2,cold,21,68,1.0,low,119.46,0
mountain,22049,3,dry,14,78,3.11,low,108.7,0
urban,16981,2,rainy,34,66,2.12,low,109.38,0
highway,21702,4,cold,36,45,0.21,high,98.9,0
highway,19467,4,rainy,29,43,2.69,low,99.32,0
urban,15598,2,rainy,5,89,2.76,medium,108.13,1
highway,13434,2,cold,39,82,0.84,medium,105.66,0
highway,13468,4,cold,9,40,0.4,low,95.15,0
urban,17179,3,cold,31,87,1.86,high,101.26,0
highway,10765,3,rainy,24,50,0.11,medium,96.33,0
highway,18972,2,dry,14,60,2.67,low,111.32,0
urban,18579,2,dry,28,87,2.43,low,112.12,0
highway,21038,4,cold,26,80,3.84,medium,101.74,1
highway,11068,2,rainy,35,55,1.38,high,99.56,0
mountain,22069,3,cold,5,74,1.03,low,108.43,0
highway,18437,2,cold,29,56,0.81,high,108.72,1
urban,11319,4,rainy,7,87,2.11,low,95.66,0
highway,11781,2,rainy,24,68,1.63,medium,102.81,0
urban,23328,2,cold,14,85,1.24,high,115.77,1
mountain,19558,3,cold,36,70,3.43,low,106.64,0
highway,20050,2,rainy,23,88,1.19,low,113.93,0
urban,23659,4,cold,28,87,1.92,medium,103.69,0
mountain,12337,4,cold,24,85,3.62,high,96.47,1
urban,17402,3,rainy,5,40,1.62,low,101.18,0
mountain,18549,2,dry,8,42,2.6,high,109.99,1
urban,13378,2,rainy,9,54,3.53,medium,104.02,0
highway,24886,3,cold,26,71,0.45,medium,108.97,1
highway,17453,3,rainy,34,54,3.7,low,102.21,0
highway,24218,3,dry,20,75,3.36,medium,108.48,1
mountain,25350,2,cold,27,53,3.38,low,121.21,0
highway,11000,3,cold,37,62,3.17,low,97.2,0
urban,21645,3,rainy,33,49,0.43,high,103.49,0
mountain,22483,2,dry,34,45,3.52,medium,117.41,1
highway,21407,2,dry,12,70,1.76,medium,114.74,1
highway,17016,2,rainy,28,57,2.65,low,108.97,0
highway,23446,3,dry,39,87,3.43,low,108.6,0
mountain,10855,4,cold,7,53,1.25,low,96.01,0
highway,15612,2,rainy,23,67,3.63,low,107.54,0
highway,11350,4,rainy,7,74,3.99,high,93.16,1
mountain,11434,4,rainy,31,85,3.7,medium,98.01,0
mountain,17785,3,rainy,5,64,2.49,low,104.46,0
highway,24148,4,dry,39,64,2.34,low,103.24,0
highway,23879,4,dry,32,72,2.0,low,103.28,0
highway,10207,2,rainy,27,74,2.96,low,101.12,0
mountain,14681,3,dry,5,79,3.2,low,102.47,0
urban,18668,4,cold,29,72,0.81,low,99.98,0
highway,16773,4,rainy,5,50,3.25,high,95.56,1
highway,22758,3,dry,13,50,0.39,low,106.16,0
highway,12462,3,rainy,12,81,2.65,low,98.8,0
mountain,25628,2,cold,35,62,0.69,low,122.04,0
mountain,13288,4,dry,15,67,1.51,low,98.21,0
mountain,10715,2,cold,34,71,2.62,low,103.74,0
urban,25058,4,rainy,23,47,3.86,low,102.89,0
mountain,17221,2,rainy,30,66,0.78,low,111.62,0
mountain,24816,2,cold,21,74,2.68,medium,121.29,1
mountain,15907,4,cold,35,51,3.46,low,99.51,0
mountain,16092,4,rainy,11,87,0.5,medium,100.7,0
mountain,11208,4,rainy,27,86,0.65,high,95.85,0
mountain,24509,4,cold,39,75,1.44,medium,105.9,0
mountain,21651,2,cold,25,88,1.86,high,115.96,1
highway,25485,4,rainy,8,86,1.63,medium,104.49,0
highway,21437,3,rainy,32,72,1.47,low,106.22,0
highway,16756,4,dry,29,80,2.21,medium,99.11,0
mountain,19433,4,rainy,5,86,0.85,low,102.66,0
mountain,19681,2,cold,9,61,3.53,medium,114.18,1
mountain,18150,3,cold,38,78,0.87,high,103.82,0
highway,19141,3,cold,17,62,3.73,high,101.69,1
urban,22658,3,cold,34,46,2.42,low,106.23,0
mountain,23027,4,dry,13,42,3.89,low,103.27,0
mountain,16667,2,cold,17,77,2.1,low,111.17,0
highway,25786,4,rainy,6,61,2.34,medium,103.65,0
urban,14214,3,cold,6,40,0.47,medium,98.54,0
mountain,16317,3,dry,11,54,1.11,high,100.92,0
mountain,13646,2,dry,30,65,1.26,low,107.11,0
highway,12972,3,dry,25,47,0.28,medium,98.06,0
mountain,14361,3,dry,16,77,0.46,medium,102.29,0
mountain,11679,3,rainy,26,52,0.44,low,99.2,0
urban,10173,4,cold,8,71,1.65,low,94.32,0
mountain,19557,4,rainy,37,46,0.59,high,99.62,0
urban,18068,4,rainy,6,45,2.29,medium,98.18,0
urban,20950,2,rainy,38,69,2.1,medium,114.52,1
highway,18901,4,rainy,22,86,0.84,medium,100.58,0
urban,22664,2,dry,30,55,0.57,low,115.98,0
mountain,13540,2,cold,37,62,0.73,low,106.96,0
urban,15639,3,rainy,10,77,2.39,low,101.26,0
urban,24745,4,dry,36,65,0.37,medium,103.61,0
urban,17685,2,rainy,31,61,3.32,medium,110.01,1
highway,21072,2,rainy,24,62,1.65,high,112.18,1
highway,23596,2,cold,37,42,0.81,low,116.73,0
urban,22760,3,rainy,39,65,3.44,low,107.15,0
highway,25973,2,dry,20,74,3.29,low,120.73,0
highway,10938,4,dry,34,77,3.01,high,93.43,1
highway,19555,2,cold,35,57,2.23,low,112.25,0
highway,11712,3,rainy,26,40,3.29,low,96.75,0
highway,10292,3,rainy,30,45,3.87,high,93.83,1
highway,21373,3,rainy,15,52,2.56,low,105.12,0
mountain,23157,3,rainy,30,64,2.76,low,109.31,0
highway,14769,3,rainy,34,78,2.55,low,100.94,0
highway,23125,4,cold,34,75,2.44,low,102.96,0
urban,17828,3,rainy,37,83,3.25,high,101.73,1
mountain,23569,2,rainy,24,42,1.84,low,118.5,0
urban,15548,3,rainy,14,45,3.23,medium,99.97,0
highway,17104,4,dry,22,67,2.78,low,98.7,0
highway,19044,3,cold,33,55,2.34,high,101.57,0
mountain,21073,3,cold,31,63,2.02,low,107.55,0
urban,20916,4,rainy,39,70,0.55,high,99.46,1
mountain,18251,4,dry,8,62,3.92,low,101.01,0
mountain,25336,3,dry,12,82,2.42,low,111.57,0
mountain,17141,4,cold,10,73,1.91,low,100.78,0
highway,20561,2,cold,23,47,1.9,low,112.93,0
highway,16768,4,rainy,12,88,2.77,low,99.18,0
urban,21217,3,cold,36,58,2.19,medium,105.54,1
highway,18193,2,cold,28,82,3.33,medium,111.44,1
mountain,18871,3,rainy,32,59,1.34,medium,105.57,0
highway,21964,2,rainy,25,78,2.56,medium,115.95,1
highway,10912,2,cold,36,73,2.96,medium,102.1,0
mountain,14309,2,rainy,18,47,3.98,low,107.04,0
urban,21195,4,dry,38,86,3.31,high,100.26,1
highway,13515,3,cold,24,62,1.2,medium,99.1,0
urban,19257,2,dry,24,67,1.63,low,112.11,0
urban,15667,2,rainy,27,53,2.79,medium,107.11,1
urban,21654,3,cold,33,83,1.25,medium,106.86,1
highway,20758,3,dry,18,48,3.86,low,104.49,0
highway,21972,3,cold,29,78,1.37,low,106.86,0
urban,13487,4,cold,19,48,3.59,low,95.63,0
urban,19363,4,cold,5,66,2.68,low,99.82,0
highway,23800,2,dry,15,48,0.82,medium,116.9,1
urban,10140,3,rainy,18,65,2.64,low,96.32,0
mountain,10475,4,cold,39,76,3.48,medium,97.17,0
mountain,14628,4,dry,25,63,0.54,medium,99.04,0
highway,19713,4,rainy,10,83,1.8,low,100.79,0
urban,19618,2,dry,31,85,2.84,high,111.39,1
highway,18638,4,dry,5,73,1.98,low,99.64,0
highway,17300,2,rainy,18,84,0.14,high,108.26,1
mountain,18299,2,dry,38,62,2.19,medium,112.92,1
urban,24640,3,cold,19,71,3.33,medium,108.66,1
highway,16931,2,cold,15,61,3.46,low,108.83,0
urban,15803,2,dry,22,88,3.69,high,106.6,1
urban,11500,3,cold,15,60,1.79,high,95.21,0
mountain,25221,2,dry,24,47,1.56,high,118.77,1
mountain,11985,2,cold,27,65,0.75,low,104.99,0
mountain,14542,2,dry,10,76,1.1,low,108.37,0
highway,18547,2,dry,32,48,1.86,low,110.58,0
highway,18939,2,dry,24,41,3.59,medium,110.67,1
mountain,16470,4,rainy,9,70,1.26,low,100.23,1
highway,21964,3,cold,37,66,1.34,high,104.5,0
urban,25143,4,cold,35,65,3.84,medium,103.84,0
urban,18547,4,dry,25,43,0.64,medium,98.69,0
highway,16413,3,rainy,5,87,0.45,low,102.23,0
highway,25518,3,rainy,9,86,2.01,medium,109.84,1
mountain,25377,3,dry,19,72,0.44,medium,111.31,1
urban,12850,2,cold,38,48,2.38,medium,103.55,0
highway,12579,4,rainy,28,72,3.52,high,94.16,1
mountain,18524,3,rainy,11,55,2.62,high,102.8,1
mountain,11631,3,dry,22,63,3.04,low,99.54,0
urban,11670,4,rainy,35,85,1.97,high,94.22,0
mountain,16390,4,rainy,21,87,1.25,medium,101.04,0
urban,21295,3,rainy,5,51,0.98,medium,104.86,0
urban,21404,3,cold,23,85,1.44,low,106.58,0
highway,15389,2,rainy,23,80,2.51,medium,107.78,1
urban,20996,3,cold,7,52,0.5,low,104.68,0
urban,21118,2,dry,16,46,0.13,high,111.48,1
highway,11174,3,cold,11,85,3.53,high,95.88,1
highway,13586,4,cold,19,46,2.09,high,93.62,0
urban,13208,4,rainy,25,53,3.27,medium,95.75,0
urban,12274,4,cold,37,50,0.78,low,95.23,0
mountain,22947,3,rainy,7,65,0.19,medium,108.83,1
mountain,20358,3,cold,35,56,2.04,low,106.73,0
mountain,25433,3,dry,36,52,2.58,high,108.81,1
mountain,11634,3,dry,16,54,1.79,high,97.09,0
mountain,25028,4,rainy,21,65,3.91,medium,105.56,0
urban,10626,3,rainy,21,45,3.52,high,93.97,1
urban,15584,4,cold,8,41,1.9,high,94.5,0
mountain,23613,2,cold,25,67,1.92,low,119.57,0
highway,10480,4,cold,7,64,2.29,low,94.22,0
highway,25561,4,cold,30,84,2.43,low,104.79,0
highway,21678,2,cold,33,48,1.07,medium,114.51,1
mountain,21606,3,dry,19,42,1.91,low,106.97,0
highway,19158,2,dry,22,83,1.87,medium,112.6,1
urban,22305,3,dry,16,42,2.97,medium,105.51,0
mountain,13605,3,dry,25,77,1.63,high,99.79,0
mountain,17948,2,cold,32,54,2.52,low,112.08,0
mountain,10230,3,rainy,11,63,3.38,low,98.21,0
mountain,17812,2,dry,16,50,3.65,medium,111.5,1
urban,17808,4,rainy,30,62,3.22,low,99.06,0
mountain,20399,4,rainy,22,42,0.52,low,101.76,0
mountain,17577,4,rainy,10,63,0.72,low,100.66,0
highway,15826,2,cold,32,76,3.37,high,106.3,1
urban,11284,4,cold,29,63,0.31,low,95.01,0
highway,25325,4,dry,8,42,3.43,low,102.63,0
mountain,20693,2,dry,5,40,1.77,medium,114.54,1
urban,20842,3,cold,27,88,1.22,medium,106.29,0
mountain,18204,2,dry,25,61,3.72,low,112.57,0
mountain,18312,4,cold,31,58,3.34,medium,101.23,0
highway,24798,4,dry,30,43,3.66,medium,102.67,0
urban,16333,3,dry,8,56,1.02,low,100.97,0
mountain,20174,3,dry,9,82,2.02,medium,107.23,0
highway,24240,4,dry,7,80,0.48,medium,103.46,0
mountain,18964,2,cold,10,55,3.43,medium,113.06,1
highway,22968,4,cold,13,42,2.04,low,101.23,0
highway,19822,2,cold,32,51,3.57,high,110.3,1
